bures	ˈburɛs
džemuješ	ˈdʒɛmujɛʃ
badám	ˈbadaːm
koľo	ˈkɔʎɔ
darcek	ˈdartsɛk
vlasov	ˈvɫasɔv
vysledky	ˈvislɛdki
kupíme	ˈkupiːmɛ
modreho	ˈmɔdrɛhɔ
kopete	ˈkɔpɛtɛ
vete	ˈvɛtɛ
suzon	ˈsuzɔn
bojarom	ˈbɔjarɔm
zauceny	ˈzautsɛni
buna	ˈbuna
besným	ˈbɛsniːm
spadneš	ˈspadɲɛʃ
výrub	ˈviːrub
sondu	ˈsɔndu
nepod	ˈɲɛpɔd
trpý	ˈtrpiː
vety	ˈvɛti
nohý	ˈnɔɦiː
zdutí	ˈzdutiː
stavom	ˈstavɔm
monre	ˈmɔnrɛ
frajer	ˈfrajɛr
vodne	ˈvɔdɲɛ
zdvojený	ˈzdvɔjɛniː
ču	ˈtʃu
kamerový	ˈkamɛrɔviː
vypla	ˈvipla
korena	ˈkɔrɛna
toro	ˈtɔrɔ
saha	ˈsaɦa
zapískam	ˈzapiːskam
vetru	ˈvɛtru
spomenka	ˈspɔmɛnka
carrom	ˈtsarɔm
colon	ˈtsɔɫɔn
zlomu	ˈzɫɔmu
spas	ˈspas
dozrel	ˈdɔzrɛl
pombo	ˈpɔmbɔ
smu	ˈsmu
skool	ˈskɔɫ
saruf	ˈsaruf
buns	ˈbuns
damas	ˈdamas
pokosí	ˈpɔkɔsiː
voje	ˈvɔjɛ
stoja	ˈstɔja
zatku	ˈzatku
vedru	ˈvɛdru
bos	ˈbɔs
dvojmo	ˈdvɔjmɔ
horko	ˈɦɔrkɔ
zaklína	ˈzakliːna
suda	ˈsuda
depa	ˈdɛpa
stopov	ˈstɔpɔv
coro	ˈtsɔrɔ
samurel	ˈsamurɛl
pohnal	ˈpɔɦnal
vrte	ˈvrtɛ
tuma	ˈtuma
vyboríme	ˈvibɔriːmɛ
skladujem	ˈskladujɛm
sporum	ˈspɔrum
carovna	ˈtsarɔvna
tvojo	ˈtvɔjɔ
zdam	ˈzdam
komarov	ˈkɔmarɔv
jodla	ˈjɔdɫa
zrelom	ˈzrɛlɔm
seu	ˈsɛu
tsa	ˈtsa
toby	ˈtɔbi
strávený	ˈstraːvɛniː
svoja	ˈsvɔja
sobích	ˈsɔbiːx
stranky	ˈstranki
hom	ˈɦɔm
spoken	ˈspɔkɛn
dace	ˈdatsɛ
votný	ˈvɔtniː
zaskal	ˈzaskal
vzruseny	ˈvzrusɛni
zabera	ˈzabɛra
zadne	ˈzadɲɛ
our	ˈɔur
drobným	ˈdrɔbniːm
vyšle	ˈviʃlɛ
kapele	ˈkapɛlɛ
vtaň	ˈvtaɲ
pakel	ˈpakɛl
pozves	ˈpɔzvɛs
mecov	ˈmɛtsɔv
zmojho	ˈzmɔjhɔ
kožnou	ˈkɔʒnɔu
valen	ˈvalɛn
vražd	ˈvraʒd
soľných	ˈsɔʎniːx
žeravý	ˈʒɛraviː
svou	ˈsvɔu
vale	ˈvalɛ
výstave	ˈviːstavɛ
ses	ˈsɛs
pozríme	ˈpɔzriːmɛ
cholo	ˈxɔɫɔ
bosí	ˈbɔsiː
doro	ˈdɔrɔ
vodku	ˈvɔdku
kadet	ˈkadɛt
vyborna	ˈvibɔrna
zhu	ˈzhu
švík	ˈʃviːk
katove	ˈkatɔvɛ
bajku	ˈbajku
prednost	ˈprɛdnɔst
stromových	ˈstrɔmɔviːx
svetovu	ˈsvɛtɔvu
zapískaš	ˈzapiːskaʃ
paĺbe	ˈpabɛ
bakou	ˈbakɔu
volím	ˈvɔliːm
výšku	ˈviːʃku
poklesu	ˈpɔklɛsu
zastavka	ˈzastavka
stojaka	ˈstɔjaka
konava	ˈkɔnava
kolíne	ˈkɔliːnɛ
core	ˈtsɔrɛ
odno	ˈɔdnɔ
vyhladuj	ˈvihladuj
poznaní	ˈpɔznaɲiː
vrstve	ˈvrstvɛ
zmastí	ˈzmastiː
dvoj	ˈdvɔj
dovolím	ˈdɔvɔliːm
dospel	ˈdɔspɛl
čs	ˈtʃ
bedne	ˈbɛdɲɛ
dowu	ˈdɔu
zmuvu	ˈzmuvu
pokusom	ˈpɔkusɔm
čenk	ˈtʃɛnk
sporných	ˈspɔrniːx
čele	ˈtʃɛlɛ
zvar	ˈzvar
kranz	ˈkranz
zasteľ	ˈzastɛʎ
tomme	ˈtɔmɛ
zrna	ˈzrna
vasej	ˈvasɛj
spona	ˈspɔna
tes	ˈtɛs
krev	ˈkrɛv
cobre	ˈtsɔbrɛ
spoje	ˈspɔjɛ
baču	ˈbatʃu
porečo	ˈpɔrɛtʃɔ
medu	ˈmɛdu
morko	ˈmɔrkɔ
zauč	ˈzaut
zastrelo	ˈzastrɛlɔ
kamen	ˈkamɛn
zahra	ˈzaɦra
vrtul	ˈvrtul
beste	ˈbɛstɛ
vlakoch	ˈvɫakɔx
zusa	ˈzusa
pose	ˈpɔsɛ
zastrelený	ˈzastrɛlɛniː
sloh	ˈsɫɔɦ
cecku	ˈtsɛtsku
ned	ˈɲɛd
celný	ˈtsɛlniː
ľadový	ˈʎadɔviː
výzera	ˈviːzɛra
síly	ˈsiːli
pokusa	ˈpɔkusa
zvonov	ˈzvɔnɔv
zmeškal	ˈzmɛʃkal
stavu	ˈstavu
kere	ˈkɛrɛ
pažítka	ˈpaʒiːtka
dobroš	ˈdɔbrɔʃ
kuda	ˈkuda
stredu	ˈstrɛdu
vanka	ˈvanka
dube	ˈdubɛ
vymoc	ˈvimɔt
zvaľ	ˈzvaʎ
zahr	ˈzaɦr
vazou	ˈvazɔu
medovým	ˈmɛdɔviːm
kaare	ˈkarɛ
kamos	ˈkamɔs
bazových	ˈbazɔviːx
vlastným	ˈvɫastniːm
than	ˈtɦan
mocou	ˈmɔtsɔu
skaru	ˈskaru
vašľm	ˈvaʃʎm
sovych	ˈsɔvix
chopný	ˈxɔpniː
vypadne	ˈvipadɲɛ
stou	ˈstɔu
besných	ˈbɛsniːx
vaných	ˈvaniːx
bends	ˈbɛnds
dnešnom	ˈdɲɛʃnɔm
zvedkov	ˈzvɛdkɔv
suru	ˈsuru
kralovska	ˈkralɔvska
mojave	ˈmɔjavɛ
vera	ˈvɛra
javou	ˈjavɔu
kupovat	ˈkupɔvat
vykradol	ˈvikradɔl
kapote	ˈkapɔtɛ
vlajku	ˈvɫajku
zastavením	ˈzastavɛniːm
sušeným	ˈsuʃɛniːm
výše	ˈviːʃɛ
stopý	ˈstɔpiː
jonah	ˈjɔnaɦ
saron	ˈsarɔn
strašíme	ˈstraʃiːmɛ
bezvadne	ˈbɛzvadɲɛ
honah	ˈɦɔnaɦ
sasa	ˈsasa
zasta	ˈzasta
ondo	ˈɔndɔ
bedľa	ˈbɛdʎa
dopíše	ˈdɔpiːʃɛ
soke	ˈsɔkɛ
snos	ˈsnɔs
vredu	ˈvrɛdu
dolnu	ˈdɔɫnu
mond	ˈmɔnd
spravýš	ˈspraviːʃ
vonu	ˈvɔnu
zaroveň	ˈzarɔvɛɲ
choko	ˈxɔkɔ
vykol	ˈvikɔl
koze	ˈkɔzɛ
zľutuješ	ˈzʎujɛʃ
voľbu	ˈvɔʎbu
podpíšem	ˈpɔdpiːʃɛm
svomu	ˈsvɔmu
kola	ˈkɔɫa
bojara	ˈbɔjara
zaje	ˈzajɛ
spore	ˈspɔrɛ
kuje	ˈkujɛ
dvo	ˈdvɔ
volenou	ˈvɔlɛnɔu
draca	ˈdratsa
has	ˈɦas
nele	ˈɲɛlɛ
zakotvení	ˈzakɔtvɛniː
baso	ˈbasɔ
zuhe	ˈzuɦɛ
poľujem	ˈpɔʎujɛm
besa	ˈbɛsa
kunalov	ˈkunalɔv
zameraj	ˈzamɛraj
zaberu	ˈzabɛru
kocha	ˈkɔxa
kandor	ˈkandɔr
splavím	ˈspɫaviːm
hando	ˈɦandɔ
tajnou	ˈtajnɔu
zastavu	ˈzastavu
hoa	ˈɦɔa
svenov	ˈsvɛnɔv
kwaad	ˈkad
kokosu	ˈkɔsu
base	ˈbasɛ
ouou	ˈɔu
bada	ˈbada
zapru	ˈzapru
nerove	ˈɲɛrɔvɛ
soka	ˈsɔka
vazeny	ˈvazɛni
neeru	ˈɲɛru
salat	ˈsalat
volením	ˈvɔlɛniːm
hems	ˈɦɛms
basoch	ˈbasɔx
vetka	ˈvɛtka
suche	ˈsuxɛ
spovedí	ˈspɔvɛdiː
zeby	ˈzɛbi
doško	ˈdɔʃkɔ
saul	ˈsaul
posel	ˈpɔsɛl
vyhraj	ˈvihraj
verona	ˈvɛrɔna
sera	ˈsɛra
chomsky	ˈxɔmski
dort	ˈdɔrt
buha	ˈbuɦa
zberom	ˈzbɛrɔm
kaper	ˈkapɛr
sáva	ˈsaːva
cupu	ˈtsupu
zákrute	ˈzaːkrutɛ
vozím	ˈvɔziːm
kvok	ˈkvɔk
čarva	ˈtʃarva
zastava	ˈzastava
sedavé	ˈsɛdavɛː
kasy	ˈkasi
tse	ˈtsɛ
kuo	ˈkuɔ
stves	ˈstvɛs
spekulant	ˈspɛkulant
kujem	ˈkujɛm
mok	ˈmɔk
šepkaj	ˈʃɛpkaj
dovolenou	ˈdɔvɔlɛnɔu
zasada	ˈzasada
sektu	ˈsɛktu
kurv	ˈkurv
sladový	ˈsɫadɔviː
hrp	ˈɦrp
nadaný	ˈnadaniː
šestku	ˈʃɛstku
výbore	ˈviːbɔrɛ
smelý	ˈsmɛliː
koa	ˈkɔa
slzný	ˈsɫzniː
zvalí	ˈzvaliː
tornado	ˈtɔrnadɔ
štastní	ˈʃtastniː
prelomený	ˈprɛlɔmɛniː
kach	ˈkax
jeh	ˈjɛɦ
das	ˈdas
doda	ˈdɔda
plazím	ˈpɫaziːm
pozemkovy	ˈpɔzɛmkɔvi
kva	ˈkva
vekov	ˈvɛkɔv
čaký	ˈtʃakiː
dravo	ˈdravɔ
sanoku	ˈsanɔku
hradom	ˈɦradɔm
kuva	ˈkuva
stravenym	ˈstravɛnim
suz	ˈsuz
strašno	ˈstraʃnɔ
sandra	ˈsandra
zvoň	ˈzvɔɲ
možnu	ˈmɔʒnu
zdrave	ˈzdravɛ
dvorku	ˈdvɔrku
spaja	ˈspaja
sezonu	ˈsɛzɔnu
stanoval	ˈstanɔval
vma	ˈvma
kaze	ˈkazɛ
placka	ˈpɫatska
bazuk	ˈbazuk
monde	ˈmɔndɛ
setom	ˈsɛtɔm
posudkom	ˈpɔsudkɔm
sonak	ˈsɔnak
kača	ˈkatʃa
podvolí	ˈpɔdvɔliː
dvam	ˈdvam
doprave	ˈdɔpravɛ
zdravému	ˈzdravɛːmu
vlo	ˈvɫɔ
monou	ˈmɔnɔu
trona	ˈtrɔna
pastelky	ˈpastɛlki
trojanom	ˈtrɔjanɔm
carom	ˈtsarɔm
vzopne	ˈvzɔpɲɛ
zahalí	ˈzaɦaliː
zobud	ˈzɔbud
srde	ˈsrɟɛ
stredná	ˈstrɛdnaː
celo	ˈtsɛlɔ
donat	ˈdɔnat
bojac	ˈbɔjat
vanko	ˈvankɔ
sabe	ˈsabɛ
sola	ˈsɔɫa
poserem	ˈpɔsɛrɛm
who	ˈɦɔ
hambu	ˈɦambu
zdravíš	ˈzdraviːʃ
vybel	ˈvibɛɫ
botasku	ˈbɔtasku
botasky	ˈbɔtaski
kopýt	ˈkɔpiːt
duke	ˈdukɛ
badena	ˈbadɛna
šedom	ˈʃɛdɔm
vou	ˈvɔu
polejte	ˈpɔlɛjtɛ
veck	ˈvɛts
zlatku	ˈzɫatku
kule	ˈkulɛ
výšký	ˈviːʃkiː
haste	ˈɦastɛ
krem	ˈkrɛm
sra	ˈsra
zak	ˈzak
cobru	ˈtsɔbru
sprosta	ˈsprɔsta
dokon	ˈdɔkɔn
hwana	ˈɦana
zmyslom	ˈzmislɔm
poznaš	ˈpɔznaʃ
mešít	ˈmɛʃiːt
štastný	ˈʃtastniː
sauret	ˈsaurɛt
vybraných	ˈvibraniːx
vacku	ˈvatsku
zakrute	ˈzakrutɛ
zdobený	ˈzdɔbɛniː
plads	ˈpɫads
kľuče	ˈkʎutʃɛ
pozkaj	ˈpɔzkaj
výsledký	ˈviːslɛdkiː
volare	ˈvɔlɑrɛ
vetach	ˈvɛtax
dlažbu	ˈdɫaʒbu
zube	ˈzubɛ
vravíme	ˈvraviːmɛ
zpat	ˈzpat
čaru	ˈtʃaru
vzdaj	ˈvzdaj
chock	ˈxɔts
spoznám	ˈspɔznaːm
vres	ˈvrɛs
dodda	ˈdɔda
vakov	ˈvakɔv
veron	ˈvɛrɔn
basou	ˈbasɔu
vorenus	ˈvɔrɛnus
šere	ˈʃɛrɛ
podpíš	ˈpɔdpiːʃ
spek	ˈspɛk
nespadne	ˈɲɛspadɲɛ
count	ˈtsɔunt
zdrav	ˈzdrav
moods	ˈmɔds
vletím	ˈvɫɛtiːm
spodný	ˈspɔdniː
sedol	ˈsɛdɔɫ
sebas	ˈsɛbas
steste	ˈstɛstɛ
varoval	ˈvarɔval
zvoľ	ˈzvɔʎ
strelný	ˈstrɛlniː
splašený	ˈspɫaʃɛniː
vatru	ˈvatru
sonu	ˈsɔnu
slávna	ˈsɫaːvna
drvíš	ˈdrviːʃ
zalejte	ˈzalɛjtɛ
vežka	ˈvɛʒka
každu	ˈkaʒdu
sára	ˈsaːra
vprvom	ˈvprvɔm
zmatku	ˈzmatku
zohnalo	ˈzɔɦnalɔ
královna	ˈkraːɫɔvna
bare	ˈbarɛ
dojazd	ˈdɔjazd
strojný	ˈstrɔjniː
jony	ˈjɔni
plaveckom	ˈpɫavɛtskɔm
spoľ	ˈspɔʎ
hrbíš	ˈɦrbiːʃ
postvat	ˈpɔstvat
vankus	ˈvankus
kormu	ˈkɔrmu
dust	ˈdust
šabrok	ˈʃabrɔk
šomra	ˈʃɔmra
pametate	ˈpamɛtatɛ
skety	ˈskɛti
hoja	ˈɦɔja
tvoríme	ˈtvɔriːmɛ
sonar	ˈsɔnar
sameer	ˈsamɛr
šas	ˈʃas
poserov	ˈpɔsɛrɔv
dobremu	ˈdɔbrɛmu
kolecko	ˈkɔlɛtskɔ
velmu	ˈvɛɫmu
hrab	ˈɦrab
bones	ˈbɔnɛs
krovísk	ˈkrɔviːsk
padneme	ˈpadɲɛmɛ
debut	ˈdɛbut
jorem	ˈjɔrɛm
novaro	ˈnɔvarɔ
stopol	ˈstɔpɔɫ
zvaríme	ˈzvariːmɛ
moku	ˈmɔku
krasa	ˈkrasa
mozu	ˈmɔzu
straznych	ˈstraznix
voď	ˈvɔɟ
padnes	ˈpadɲɛs
zapasu	ˈzapasu
vzne	ˈvzɲɛ
zješ	ˈzjɛʃ
prajes	ˈprajɛs
torn	ˈtɔrn
dýka	ˈdiːka
výhoda	ˈviːhɔda
dostupný	ˈdɔstupniː
seky	ˈsɛki
jews	ˈjɛs
kvetu	ˈkvɛtu
kome	ˈkɔmɛ
vom	ˈvɔm
velmo	ˈvɛɫmɔ
zloto	ˈzɫɔtɔ
zohral	ˈzɔɦral
zástupe	ˈzaːstupɛ
kars	ˈkars
druhe	ˈdruhɛ
havaj	ˈɦavaj
poľuje	ˈpɔʎujɛ
smreku	ˈsmrɛku
zvanou	ˈzvanɔu
dumu	ˈdumu
stanov	ˈstanɔv
sara	ˈsara
bolee	ˈbɔlɛ
mos	ˈmɔs
troje	ˈtrɔjɛ
vrtnou	ˈvrtnɔu
vlastnu	ˈvɫastnu
vetkých	ˈvɛtkiːx
stvorením	ˈstvɔrɛniːm
spredu	ˈsprɛdu
spo	ˈspɔ
plazíme	ˈpɫaziːmɛ
tena	ˈtɛna
slamu	ˈsɫamu
mošno	ˈmɔʃnɔ
vymena	ˈvimɛna
smelí	ˈsmɛliː
posed	ˈpɔsɛd
dume	ˈdumɛ
mojenko	ˈmɔjɛnkɔ
spustu	ˈspustu
vladnej	ˈvɫadɲɛj
debs	ˈdɛbs
kanu	ˈkanu
haka	ˈɦaka
stvo	ˈstvɔ
černy	ˈtʃɛrni
vedat	ˈvɛdat
vládna	ˈvɫaːdna
bankou	ˈbankɔu
sojam	ˈsɔjam
posun	ˈpɔsun
vraku	ˈvraku
zotavuje	ˈzɔtavujɛ
kapore	ˈkapɔrɛ
horna	ˈɦɔrna
kapre	ˈkaprɛ
pojo	ˈpɔjɔ
vysajem	ˈvisajɛm
vasou	ˈvasɔu
strunk	ˈstrunk
černý	ˈtʃɛrniː
ńou	ˈɔu
bonusové	ˈbɔnusɔvɛː
speks	ˈspɛks
hrda	ˈɦrda
svým	ˈsviːm
dostrele	ˈdɔstrɛlɛ
pasením	ˈpasɛniːm
stup	ˈstup
dravej	ˈdravɛj
vetra	ˈvɛtra
soj	ˈsɔj
moro	ˈmɔrɔ
daruj	ˈdaruj
vnej	ˈvɲɛj
tajomní	ˈtajɔmniː
dvaje	ˈdvajɛ
valí	ˈvaliː
zdrava	ˈzdrava
kopaj	ˈkɔpaj
zotavíš	ˈzɔtaviːʃ
bodlo	ˈbɔdɫɔ
dbaj	ˈdbaj
baf	ˈbaf
vare	ˈvarɛ
soba	ˈsɔba
zmaž	ˈzmaʒ
zapíš	ˈzapiːʃ
stlač	ˈstɫat
dvor	ˈdvɔr
zatajím	ˈzatajiːm
výkoný	ˈviːkɔniː
dobrak	ˈdɔbrak
soku	ˈsɔku
vos	ˈvɔs
spa	ˈspa
výpadku	ˈviːpadku
belošku	ˈbɛɫɔʃku
výpove	ˈviːpɔvɛ
modrých	ˈmɔdriːx
ˇpor	ˈpɔr
upla	ˈupɫa
tvorom	ˈtvɔrɔm
kasou	ˈkasɔu
kano	ˈkanɔ
zapretý	ˈzaprɛtiː
svalov	ˈsvalɔv
vrme	ˈvrmɛ
strednom	ˈstrɛdnɔm
pozvem	ˈpɔzvɛm
sanku	ˈsanku
dromas	ˈdrɔmas
jasnu	ˈjasnu
večným	ˈvɛtʃniːm
zraň	ˈzraɲ
sporoch	ˈspɔrɔx
bus	ˈbus
sunar	ˈsunar
dp	ˈdp
kupem	ˈkupɛm
stands	ˈstands
ksl	ˈksɫ
vstaň	ˈvstaɲ
saku	ˈsaku
výstavku	ˈviːstavku
sadení	ˈsaɟɛniː
saref	ˈsarɛf
zvrstvená	ˈzvrstvɛnaː
cely	ˈtsɛli
kente	ˈkɛntɛ
sreb	ˈsrɛb
kožko	ˈkɔʒkɔ
slovensk	ˈsɫɔʋɛnsk
bažíš	ˈbaʒiːʃ
zlte	ˈzɫtɛ
zapoja	ˈzapɔja
horar	ˈɦɔrar
zdaju	ˈzdaju
pľuješ	ˈpʎujɛʃ
kralovsku	ˈkralɔvsku
dunach	ˈdunax
kasa	ˈkasa
colm	ˈtsɔɫm
stroho	ˈstrɔɦɔ
stoupa	ˈstɔupa
jaspa	ˈjaspa
skoná	ˈskɔnaː
seely	ˈsɛli
stun	ˈstun
sumou	ˈsumɔu
somára	ˈsɔmaːra
suším	ˈsuʃiːm
skar	ˈskar
povedomý	ˈpɔvɛdɔmiː
spomeň	ˈspɔmɛɲ
heem	ˈɦɛm
sprejom	ˈsprɛjɔm
svorku	ˈsvɔrku
preso	ˈprɛsɔ
zamotaj	ˈzamɔtaj
vaku	ˈvaku
domový	ˈdɔmɔviː
krpatý	ˈkrpatiː
kroda	ˈkrɔda
probes	ˈprɔbɛs
spokojný	ˈspɔkɔjniː
dokonal	ˈdɔkɔnal
duseným	ˈdusɛniːm
theny	ˈtɦɛni
šopa	ˈʃɔpa
prosíím	ˈprɔsiːm
volených	ˈvɔlɛniːx
zohrala	ˈzɔɦralɑ
vlakova	ˈvɫakɔva
makových	ˈmakɔviːx
doplna	ˈdɔpɫna
kuram	ˈkuram
vojaku	ˈvɔjaku
zapíšem	ˈzapiːʃɛm
kopí	ˈkɔpiː
podlých	ˈpɔdliːx
zobr	ˈzɔbr
presnym	ˈprɛsnim
vena	ˈvɛna
koča	ˈkɔtʃa
kawako	ˈkakɔ
štvaný	ˈʃtvaniː
vlaj	ˈvɫaj
nedovo	ˈɲɛdɔvɔ
dozen	ˈdɔzɛn
zložku	ˈzɫɔʒku
jau	ˈjau
kato	ˈkatɔ
doskovej	ˈdɔskɔvɛj
speje	ˈspɛjɛ
vas	ˈvas
sokel	ˈsɔkɛl
zna	ˈzna
banta	ˈbanta
skate	ˈskatɛ
zhoduje	ˈzhɔdujɛ
slušných	ˈsɫuʃniːx
moran	ˈmɔran
splátka	ˈspɫaːtka
pozret	ˈpɔzrɛt
bozej	ˈbɔzɛj
stavaju	ˈstavaju
vatou	ˈvatɔu
zlost	ˈzɫɔst
doback	ˈdɔbats
zhor	ˈzhɔr
zmenou	ˈzmɛnɔu
šer	ˈʃɛr
bezpe	ˈbɛzpɛ
hasí	ˈɦasiː
vyhovel	ˈvihɔvɛɫ
vysluch	ˈvislux
slaný	ˈsɫaniː
tvojm	ˈtvɔjm
zvedov	ˈzvɛdɔv
zabudas	ˈzabudas
odnu	ˈɔdnu
číra	ˈtʃiːra
zrovnaný	ˈzrɔvnaniː
smerný	ˈsmɛrniː
zlovo	ˈzɫɔvɔ
vnorí	ˈvnɔriː
zaklad	ˈzaklad
skapu	ˈskapu
pastvam	ˈpastvam
spolou	ˈspɔɫɔu
posere	ˈpɔsɛrɛ
ducu	ˈdutsu
zoberu	ˈzɔbɛru
kolesu	ˈkɔlɛsu
vráta	ˈvraːta
vlkom	ˈvɫkɔm
vysloví	ˈvislɔviː
zlty	ˈzɫti
stonku	ˈstɔnku
zmaľuje	ˈzmaʎujɛ
pojal	ˈpɔjal
trvalým	ˈtrvaliːm
pustím	ˈpustiːm
bojom	ˈbɔjɔm
kammo	ˈkamɔ
možná	ˈmɔʒnaː
sureš	ˈsurɛʃ
zbrklí	ˈzbrkliː
honk	ˈɦɔnk
roseho	ˈrɔsɛhɔ
zmeň	ˈzmɛɲ
čaruj	ˈtʃaruj
znakom	ˈznakɔm
jas	ˈjas
kostí	ˈkɔstiː
sark	ˈsark
slaven	ˈsɫavɛn
budut	ˈbudut
zvedavé	ˈzvɛdavɛː
vazu	ˈvazu
veno	ˈvɛnɔ
tube	ˈtubɛ
zant	ˈzant
dvoma	ˈdvɔma
zhojí	ˈzhɔjiː
drvený	ˈdrvɛniː
zberač	ˈzbɛrat
vosk	ˈvɔsk
slavík	ˈsɫaviːk
baští	ˈbaʃtiː
haman	ˈɦaman
spravu	ˈspravu
skur	ˈskur
čurák	ˈtʃuraːk
kožná	ˈkɔʒnaː
vzlety	ˈvzɫɛti
bustu	ˈbustu
vodam	ˈvɔdam
vršku	ˈvrʃku
pabst	ˈpabst
slamený	ˈsɫamɛniː
strandu	ˈstrandu
počuje	ˈpɔtʃujɛ
saula	ˈsaula
thana	ˈtɦana
dresa	ˈdrɛsa
vrob	ˈvrɔb
orly	ˈɔrli
čyři	ˈtʃi
bodujem	ˈbɔdujɛm
svedomím	ˈsvɛdɔmiːm
morkom	ˈmɔrkɔm
kvetý	ˈkvɛtiː
člnu	ˈtʃɫnu
vsak	ˈvsak
zadusíš	ˈzadusiːʃ
budom	ˈbudɔm
kompa	ˈkɔmpa
tep	ˈtɛp
havaja	ˈɦavaja
člna	ˈtʃɫna
kosel	ˈkɔsɛl
držbu	ˈdrʒbu
stalč	ˈstalt
sevas	ˈsɛvas
páska	ˈpaːska
vletku	ˈvɫɛtku
vyšlem	ˈviʃlɛm
kedže	ˈkɛdʒɛ
duc	ˈdut
kuša	ˈkuʃa
veslom	ˈvɛsɫɔm
slovna	ˈsɫɔvna
joha	ˈjɔɦa
dlažku	ˈdɫaʒku
poznajem	ˈpɔznajɛm
vypľuje	ˈvipʎujɛ
hasta	ˈɦasta
zavesí	ˈzavɛsiː
zbavením	ˈzbavɛniːm
zona	ˈzɔna
podtým	ˈpɔdtiːm
spíma	ˈspiːma
čara	ˈtʃara
dojalo	ˈdɔjalɔ
cern	ˈtsɛrn
vanu	ˈvanu
pohladu	ˈpɔɦɫadu
staje	ˈstajɛ
zme	ˈzmɛ
volnu	ˈvɔlnu
kol	ˈkɔɫ
zobereš	ˈzɔbɛrɛʃ
znaku	ˈznaku
poznam	ˈpɔznam
sarma	ˈsarma
chramu	ˈxramu
spolok	ˈspɔɫɔk
sambora	ˈsambɔra
vletí	ˈvɫɛtiː
spet	ˈspɛt
bope	ˈbɔpɛ
sobre	ˈsɔbrɛ
bazenov	ˈbazɛnɔv
stromový	ˈstrɔmɔviː
poznačený	ˈpɔznatʃɛniː
zkrátka	ˈzkraːtka
nepekný	ˈɲɛpɛkniː
mocu	ˈmɔtsu
valou	ˈvalɔu
dojku	ˈdɔjku
moëtu	ˈmɔtu
kojený	ˈkɔjɛniː
sura	ˈsura
jebeš	ˈjɛbɛʃ
strombo	ˈstrɔmbɔ
boše	ˈbɔʃɛ
voskový	ˈvɔskɔviː
pasta	ˈpasta
sou	ˈsɔu
vonný	ˈvɔnniː
bakes	ˈbakɛs
posím	ˈpɔsiːm
zlavu	ˈzɫavu
smeruj	ˈsmɛruj
sajnu	ˈsajnu
zorka	ˈzɔrka
volaj	ˈvɔlɑj
kovac	ˈkɔvat
bavím	ˈbaviːm
stejkoch	ˈstɛjkɔx
zbeh	ˈzbɛɦ
dokov	ˈdɔkɔv
strubel	ˈstrubɛl
pojedla	ˈpɔjɛdɫa
zhrbeny	ˈzhrbɛni
šejka	ˈʃɛjka
skovaj	ˈskɔvaj
tampon	ˈtampɔn
spím	ˈspiːm
dotkne	ˈdɔtkɲɛ
sopa	ˈsɔpa
vrstvená	ˈvrstvɛnaː
sodu	ˈsɔdu
velma	ˈvɛɫma
horesa	ˈɦɔrɛsa
modlení	ˈmɔdlɛniː
tho	ˈtɦɔ
škrab	ˈʃkrab
kose	ˈkɔsɛ
sapna	ˈsapna
zrovna	ˈzrɔvna
svetým	ˈsvɛtiːm
naucí	ˈnautsiː
skonč	ˈskɔnt
sanka	ˈsanka
bejako	ˈbɛjakɔ
zmerom	ˈzmɛrɔm
troja	ˈtrɔja
tvojeho	ˈtvɔjɛhɔ
dneska	ˈdɲɛska
žrebu	ˈʒrɛbu
bodnej	ˈbɔdɲɛj
choco	ˈxɔtsɔ
krajec	ˈkrajɛt
stolu	ˈstɔɫu
duní	ˈduniː
ktoho	ˈktɔɦɔ
vada	ˈvada
vlno	ˈvɫnɔ
kozmu	ˈkɔzmu
čaruje	ˈtʃarujɛ
baletka	ˈbaɫɛtka
dojeme	ˈdɔjɛmɛ
hamu	ˈɦamu
veras	ˈvɛras
mou	ˈmɔu
porast	ˈpɔrast
sudruh	ˈsudruh
krep	ˈkrɛp
vezmu	ˈvɛzmu
kotex	ˈkɔtɛk
vyjedá	ˈvijɛdaː
joyom	ˈjɔm
zvonec	ˈzvɔnɛt
skovam	ˈskɔvam
vasen	ˈvasɛn
komnatu	ˈkɔmnatu
drza	ˈdrza
koralov	ˈkɔralɔv
znas	ˈznas
dobý	ˈdɔbiː
verných	ˈvɛrniːx
ced	ˈtsɛd
krvák	ˈkrvaːk
zotrela	ˈzɔtrɛlɑ
soje	ˈsɔjɛ
upeč	ˈupɛt
výra	ˈviːra
ponaras	ˈpɔnaras
hombre	ˈɦɔmbrɛ
voc	ˈvɔt
musíto	ˈmusiːtɔ
spršku	ˈsprʃku
postím	ˈpɔstiːm
vypad	ˈvipad
volam	ˈvɔlɑm
jaroda	ˈjarɔda
krízy	ˈkriːzi
scotovým	ˈstɔviːm
tlapa	ˈtɫapa
vudu	ˈvudu
čety	ˈtʃɛti
tope	ˈtɔpɛ
hanka	ˈɦanka
zbroj	ˈzbrɔj
vyhrame	ˈvihramɛ
zast	ˈzast
corona	ˈtsɔrɔna
kapes	ˈkapɛs
týžd	ˈtiːʒd
pojebes	ˈpɔjɛbɛs
hadn	ˈɦadn
struk	ˈstruk
posuva	ˈpɔsuva
kara	ˈkara
sap	ˈsap
jason	ˈjasɔn
